TL_mm,BD_mm,Source
496,104.0,LakeMohave_1984
508,102.0,LakeMohave_1984
524,106.0,LakeMohave_1984
526,104.0,LakeMohave_1984
534,117.0,LakeMohave_1984
540,121.0,LakeMohave_1984
543,117.0,LakeMohave_1984
552,115.0,LakeMohave_1984
557,120.0,LakeMohave_1984
559,121.0,LakeMohave_1984
562,113.0,LakeMohave_1984
563,127.0,LakeMohave_1984
566,102.0,LakeMohave_1984
568,103.0,LakeMohave_1984
568,132.0,LakeMohave_1984
571,112.0,LakeMohave_1984
581,119.0,LakeMohave_1984
581,116.0,LakeMohave_1984
582,125.0,LakeMohave_1984
582,130.0,LakeMohave_1984
585,102.0,LakeMohave_1984
585,117.0,LakeMohave_1984
594,105.0,LakeMohave_1984
596,130.0,LakeMohave_1984
605,132.0,LakeMohave_1984
608,116.0,LakeMohave_1984
614,108.0,LakeMohave_1984
619,122.0,LakeMohave_1984
622,128.0,LakeMohave_1984
622,118.0,LakeMohave_1984
622,106.0,LakeMohave_1984
628,133.0,LakeMohave_1984
628,121.0,LakeMohave_1984
630,123.0,LakeMohave_1984
631,123.0,LakeMohave_1984
632,120.0,LakeMohave_1984
633,117.0,LakeMohave_1984
635,112.0,LakeMohave_1984
639,127.0,LakeMohave_1984
640,117.0,LakeMohave_1984
642,127.0,LakeMohave_1984
645,140.0,LakeMohave_1984
645,128.0,LakeMohave_1984
645,133.0,LakeMohave_1984
645,127.0,LakeMohave_1984
645,125.0,LakeMohave_1984
651,129.0,LakeMohave_1984
654,118.0,LakeMohave_1984
659,141.0,LakeMohave_1984
662,126.0,LakeMohave_1984
663,119.0,LakeMohave_1984
664,117.0,LakeMohave_1984
669,127.0,LakeMohave_1984
673,133.0,LakeMohave_1984
677,123.0,LakeMohave_1984
691,136.0,LakeMohave_1984
706,140.0,LakeMohave_1984
737,139.0,LakeMohave_1984
305,57.5,ASUMuseum_2005
300,55.5,ASUMuseum_2005
295,54.5,ASUMuseum_2005
280,53.5,ASUMuseum_2005
315,65.0,ASUMuseum_2005
315,63.5,ASUMuseum_2005
325,64.5,ASUMuseum_2005
315,62.0,ASUMuseum_2005
325,62.0,ASUMuseum_2005
330,62.0,ASUMuseum_2005
315,62.5,ASUMuseum_2005
315,63.0,ASUMuseum_2005
355,68.5,ASUMuseum_2005
380,74.5,ASUMuseum_2005
300,58.5,ASUMuseum_2005
380,76.5,ASUMuseum_2005
340,69.0,ASUMuseum_2005
310,61.5,ASUMuseum_2005
290,54.5,ASUMuseum_2005
270,52.0,ASUMuseum_2005
285,54.0,ASUMuseum_2005
270,50.0,ASUMuseum_2005
290,56.5,ASUMuseum_2005
