Date,Species,TL,Mass,Reach,Agency
11/1/2010,PYOL,880,,3,USFWS
11/20/2013,PYOL,1050,,3,USFWS
11/18/2014,PYOL,431,,3,USFWS
11/20/2014,PYOL,940,,3,USFWS
12/2/2015,PYOL,880,,3,USFWS
12/2/2015,PYOL,688,,3,USFWS
2/9/2016,PYOL,596,,3,USFWS
2/9/2016,PYOL,890,,3,USFWS
11/2/2016,PYOL,695,,3,USFWS
11/2/2016,PYOL,840,,3,USFWS
11/2/2016,PYOL,945,,3,USFWS
11/3/2016,PYOL,953,,3,USFWS
11/3/2016,PYOL,248,,3,USFWS
11/3/2016,PYOL,730,,3,USFWS
11/3/2016,PYOL,650,,3,USFWS
11/4/2016,PYOL,675,,3,USFWS
11/4/2016,PYOL,800,,3,USFWS
2/7/2017,PYOL,890,,3,USFWS
2/9/2017,PYOL,800,,3,USFWS
11/8/2017,PYOL,800,,3,USFWS
2/22/2018,PYOL,795,,3,USFWS
2/23/2018,PYOL,461,,3,USFWS
5/3/2018,PYOL,770,,3,USFWS
5/3/2018,PYOL,480,,3,USFWS
5/3/2018,PYOL,790,,3,USFWS
11/6/2018,PYOL,680,,3,USFWS
11/7/2018,PYOL,649,,3,USFWS
11/7/2018,PYOL,850,,3,USFWS
11/7/2018,PYOL,470,,3,USFWS
11/8/2019,PYOL,706,,3,USFWS
11/19/2019,PYOL,632,,3,USFWS
11/21/2019,PYOL,620,,3,USFWS
2/11/2020,PYOL,690,,3,USFWS
11/3/2020,PYOL,698,,3,USFWS
11/3/2020,PYOL,625,,3,USFWS
11/3/2020,PYOL,834,,3,USFWS
11/4/2020,PYOL,754,,3,USFWS
11/4/2020,PYOL,560,,3,USFWS
11/5/2020,PYOL,775,,3,USFWS
11/5/2020,PYOL,608,,3,USFWS
11/5/2020,PYOL,840,,3,USFWS
11/5/2020,PYOL,790,,3,USFWS
11/5/2020,PYOL,330,,3,USFWS
11/5/2020,PYOL,765,,3,USFWS
11/5/2020,PYOL,900,,3,USFWS
2/18/2021,PYOL,790,,3,USFWS
2/18/2021,PYOL,730,,3,USFWS
2/19/2021,PYOL,720,,3,USFWS
4/27/2021,PYOL,690,,3,USFWS
4/27/2021,PYOL,615,,3,USFWS
4/27/2021,PYOL,563,,3,USFWS
4/27/2021,PYOL,672,,3,USFWS
4/28/2021,PYOL,555,,3,USFWS
4/28/2021,PYOL,500,,3,USFWS
4/28/2021,PYOL,800,,3,USFWS
4/28/2021,PYOL,741,,3,USFWS
4/28/2021,PYOL,621,,3,USFWS
4/28/2021,PYOL,710,,3,USFWS
6/23/2021,PYOL,461,,3,USFWS
6/23/2021,PYOL,361,,3,USFWS
6/24/2021,PYOL,770,,3,USFWS
7/27/2021,PYOL,327,,3,USFWS
7/27/2021,PYOL,508,,3,USFWS
7/27/2021,PYOL,425,,3,USFWS
7/27/2021,PYOL,430,,3,USFWS
7/27/2021,PYOL,775,,3,USFWS
7/27/2021,PYOL,575,,3,USFWS
7/27/2021,PYOL,312,,3,USFWS
7/27/2021,PYOL,285,,3,USFWS
7/27/2021,PYOL,295,,3,USFWS
7/27/2021,PYOL,440,,3,USFWS
10/26/2021,PYOL,725,,3,USFWS
10/26/2021,PYOL,562,,3,USFWS
10/26/2021,PYOL,545,,3,USFWS
10/26/2021,PYOL,755,,3,USFWS
10/26/2021,PYOL,522,,3,USFWS
10/27/2021,PYOL,720,,3,USFWS
10/27/2021,PYOL,790,,3,USFWS
10/27/2021,PYOL,820,,3,USFWS
10/27/2021,PYOL,633,,3,USFWS
10/27/2021,PYOL,612,,3,USFWS
10/27/2021,PYOL,730,,3,USFWS
10/27/2021,PYOL,650,,3,USFWS
2/24/2022,PYOL,811,,3,USFWS
