Date,Crew,Agency,Species,Length,Weight,Sex
11/20/2023,"ER, RW, TW",USFWS,FHC,927,10191,F
11/20/2023,"ER, RW, TW",USFWS,FHC,583,2496,F
11/20/2023,"ER, RW, TW",USFWS,FHC,796,5434,F
11/20/2023,"ER, RW, TW",USFWS,FHC,692,3542,F
11/20/2023,"ER, RW, TW",USFWS,FHC,926,12729,F
11/20/2023,"ER, RW, TW",USFWS,FHC,793,5663,M
11/20/2023,"ER, RW, TW",USFWS,FHC,482,1028,F
11/20/2023,"ER, RW, TW",USFWS,FHC,335,370,F
11/20/2023,"ER, RW, TW",USFWS,FHC,994,5830,F
11/20/2023,"ER, RW, TW",USFWS,FHC,393,554,F
11/20/2023,"ER, RW, TW",USFWS,FHC,361,427,M
11/20/2023,"ER, RW, TW",USFWS,FHC,318,305,M
11/20/2023,"ER, RW, TW",USFWS,FHC,711,3639,M
11/20/2023,"ER, RW, TW",USFWS,FHC,630,2894,M
11/20/2023,"ER, RW, TW",USFWS,FHC,589,2188,F
11/20/2023,"ER, RW, TW",USFWS,FHC,1086,16887,F
11/20/2023,"ER, RW, TW",USFWS,FHC,880,7925,F
11/20/2023,"ER, RW, TW",USFWS,FHC,786,5785,M
11/21/2023,"ER, RW, TW",USFWS,FHC,907,9593,M
11/21/2023,"ER, RW, TW",USFWS,FHC,748,4593,F
11/21/2023,"ER, RW, TW",USFWS,FHC,980,9639,M
11/21/2023,"ER, RW, TW",USFWS,FHC,417,695,F
11/21/2023,"ER, RW, TW",USFWS,FHC,552,1620,F
11/21/2023,"ER, RW, TW",USFWS,FHC,578,2027,M
11/21/2023,"ER, RW, TW",USFWS,FHC,757,4943,F
11/21/2023,"ER, RW, TW",USFWS,FHC,924,8628,M
11/21/2023,"ER, RW, TW",USFWS,FHC,958,11795,M
11/21/2023,"ER, RW, TW",USFWS,FHC,964,9350,M
11/21/2023,"ER, RW, TW",USFWS,FHC,668,3269,F
11/21/2023,"ER, RW, TW",USFWS,FHC,708,3984,F
11/21/2023,"ER, RW, TW",USFWS,FHC,681,3579,F
11/21/2023,"ER, RW, TW",USFWS,FHC,747,4203,M
11/21/2023,"ER, RW, TW",USFWS,FHC,786,5544,M
11/21/2023,"ER, RW, TW",USFWS,FHC,1004,11627,M
11/21/2023,"ER, RW, TW",USFWS,FHC,559,1524,M
11/22/2023,"ER, RW, TW",USFWS,FHC,523,1415,F
11/22/2023,"ER, RW, TW",USFWS,FHC,722,3968,F
11/22/2023,"ER, RW, TW",USFWS,FHC,644,2522,M
11/22/2023,"ER, RW, TW",USFWS,FHC,749,4759,F
11/22/2023,"ER, RW, TW",USFWS,FHC,864,8027,F
11/22/2023,"ER, RW, TW",USFWS,FHC,578,2026,F
11/22/2023,"ER, RW, TW",USFWS,FHC,708,3659,F
11/20/2023,"ER, RW, TW",USFWS,FHC,833,5622,F
11/26/2023,ER,USFWS,FHC,747,4382,F
11/26/2023,ER,USFWS,FHC,890,7548,M
11/26/2023,ER,USFWS,FHC,772,4644,M
11/26/2023,ER,USFWS,FHC,938,9845,M
11/26/2023,ER,USFWS,FHC,934,8236,F
10/26/2023,"ER, EL, TW",USFWS,FHC,515,1247,M
10/26/2023,"ER, EL, TW",USFWS,FHC,592,2638,F
10/25/2023,"ER, EL, TW",USFWS,FHC,629,3304,F
10/25/2023,"ER, EL, TW",USFWS,FHC,630,2890,F
10/25/2023,"ER, EL, TW",USFWS,FHC,687,3465,F
10/25/2023,"ER, EL, TW",USFWS,FHC,580,2421,M
10/25/2023,"ER, EL, TW",USFWS,FHC,492,832,M
10/25/2023,"ER, EL, TW",USFWS,FHC,622,3178,M
11/22/2023,"ER, RW, TW",USFWS,FHC,627,2377,M
11/22/2023,"ER, RW, TW",USFWS,FHC,707,3760,M
11/22/2023,"ER, RW, TW",USFWS,FHC,850,7973,F
11/22/2023,"ER, RW, TW",USFWS,FHC,810,5950,F
