site,sdate,gear,utmzone,utm_e,utm_n,temp,fishcode,length,tfs,catch,weight
SCHIN,7/9/1991,M,15,815827,4142501,29.1,FHCF,44,T,1,1.1
SCHIN,7/9/1991,M,15,815827,4142501,29.1,FHCF,46,T,1,1.2
,7/26/1991,D,15,813867,4151315,28.3,FHCF,65,T,1,3.3
,7/26/1991,D,15,810109,4156397,28.2,FHCF,80,T,1,6
,7/26/1991,D,15,813867,4151315,28.3,FHCF,81,T,1,8
,8/14/1992,D,15,816643,4143917,25.1,FHCF,87,T,1,6
,7/26/1991,D,15,813867,4151315,28.3,FHCF,87,T,1,65
,8/12/1991,D,15,813867,4151315,25.1,FHCF,88,T,1,12.5
,9/10/1991,N,15,813867,4151315,25,FHCF,91,T,1,45
,8/12/1991,D,15,810109,4156397,25.8,FHCF,92,T,1,15
,8/12/1991,D,15,813867,4151315,25.1,FHCF,95,T,1,15
,8/12/1991,D,15,813867,4151315,25.1,FHCF,95,T,1,17
,8/12/1991,D,15,813867,4151315,25.1,FHCF,95,T,1,20
BEDROCK,8/6/1991,D,15,807321,4167599,26.5,FHCF,96,T,1,10
,9/4/1991,N,15,823725,4104652,26,FHCF,99,T,1,10
,8/12/1991,D,15,810109,4156397,25.8,FHCF,107,T,1,15
,8/21/1991,H,15,810489,4128656,25.8,FHCF,114,T,1,100
PICAY,10/27/1992,D,15,816571,4138554,17,FHCF,121,T,1,30
,6/19/1992,N,15,811224,4136689,25.2,FHCF,131,T,1,15
BEDROCK,7/17/1992,S,15,807321,4167599,27,FHCF,131,T,1,20
MARQ,7/29/1992,F,15,810914,4129126,26.3,FHCF,131,T,1,20
,10/26/1992,N,15,817495,4116734,14.7,FHCF,133,T,1,20
,9/4/1991,N,15,823725,4104652,26,FHCF,133,T,1,25
,6/27/1991,N,15,813867,4151315,26.5,FHCF,134,T,1,20
,9/25/1991,D,15,810109,4156397,17.2,FHCF,137,T,1,24
,7/26/1991,D,15,807513,4164845,28,FHCF,140,T,1,35
,6/18/1992,N,15,816643,4143917,25.9,FHCF,145,T,1,25
,9/29/2023,D,15,809179,4131799,25.3,FHCF,146,T,1,46
,9/29/1992,N,15,807473,4163214,18.2,FHCF,147,T,1,30
SANTA FE,7/27/1992,D,15,820498,4114719,29,FHCF,147,T,1,33
,6/25/1992,D,15,816643,4143917,25.7,FHCF,147,T,1,35
,6/15/2004,HS,15,807879,4169050,26,FHCF,148,T,1,45
BUMGARD,7/2/1992,D,15,822375,4106344,27.1,FHCF,149,T,1,27
100,10/12/2023,D,16,283110,4135625,20.1,FHCF,150,T,1,32
